English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
"No one can leave, try as we might!",,,,,,
How can you allow this to happen?,,,,,,
These damn borders have turned out region into a death sentence!,,,,,,
They've eaten everything... blotted out the sun.,,,,,,
I've never witnessed anything like it. It's as if hell had risen to Earth.,,,,,,
"Welcome--You seem to know your way around here, so I'll just get out of your way!",,,,,,
Attention: We have commandeered an anti-aircraft battery.,,,,,,
Oh no.,,,,,,
We tried reasoning with you but you ignored us--this is the only thing we can do.,,,,,,
It's a matter of our survival.,,,,,,
We will immediately begin shooting down the solar radiation management fleet that have disrupted our region's monsoons.,,,,,,
The temperature effects from the solar radiation management project will be undone almost immediately...,,,,,,
People are not happy with your performance...[hud_contentedness] outlook is really low.,,,,,,
A mob has raided our building! They're looking for you.,,,,,,
Any last words?,,,,,,
We are tired of living under your tyrannical plans--they've brought us nothing but misery!,,,,,,
"As Garrett Hardin so eloquently once said, ""The freedom to breed is intolerable.""",,,,,,
"Now that you've added some projects to your plan, let's try changing our production processes.",,,,,,
"Press ""Change Production"" to go to the process manager.",,,,,,
But first let's visit parliament and get you acquainted with the people there.,,,,,,
"Press the ""Govt"" tab to head on over.",,,,,,
One of the worst case scenarios has just happened...,,,,,,
"...you can't sweat, so your body can't cool itself off, and so you just basically...slowly cook in the heat.",,,,,,
What a horrible way to go. And to imagine that millions died in that way.,,,,,,
"a ""wet-bulb"" event, where temperature and humidity combine to be intolerable...",,,,,,
Surely we could have prevented this?,,,,,,
You rich Northerners will not sacrifice half the world on your altar of greed.,,,,,,
"Ha, if you think there are too many people then let us help you get rid of the Malthusians!",,,,,,
Planner! Either you are with us or with the Wretched. Make your choice.,,,,,,
"People really like living in McMansions, I guess. ",,,,,,
...but also spillover into exurbs as some seek to escape the growing density of cities.,,,,,,
They only care about their own consumption.,,,,,,
No one seems to care that we are living during an environmental crisis.,,,,,,
"Warmer waters are bad for most marine species. Many kinds of jellyfish, however, thrive in these conditions.",,,,,,
It doesn't help that too much fishing means there are fewer predators and competitors for jellyfish.,,,,,,
"Even if some people care little about the oceans, they'll be annoyed when their beach holiday is ruined. ",,,,,,
We've hit an interesting milestone--the 4000th nuclear reactor was just built.,,,,,,
"It makes me a little bit nervous, but at least it's not as dirty as fossil fuels, eh?",,,,,,
The planning session has concluded.,,,,,,
Now it's time to see what happens over the next several years.,,,,,,
Global meat consumption has gone up by almost 50% since we started.,,,,,,
"People may enjoy their cheeseburgers, but this comes at a huge cost to the environment, animals, and human health.",,,,,,
People around the world mourned your death.,,,,,,
...an uncomfortable uncertainty about the future shrouded the planet.,,,,,,
While many ambitious and talented planners would take your place...,,,,,,
There was still so much work to be done.,,,,,,
If only you could have done more...,,,,,,
"In spite of all that happened, people saw their lives change for the better.",,,,,,
"I can't believe it, but looking at all the numbers...",,,,,,
...and have a stronger foundation to continue improving.,,,,,,
We've done it.,,,,,,
We've undone so much of centuries of damage on people and the planet...,,,,,,
This is probably the first time in centuries that we can confidently say we're leaving a better planet for future generations.,,,,,,
The eruption has created an atmospheric shroud that has cooled the world by a degree.,,,,,,
"It will only last a few years, then things will warm up again, but imagine if we created our own atmospheric shroud with solar radiation management?",,,,,,
We have been observing your planet for some time now...,,,,,,
...and watched your relentless war against all other life.,,,,,,
...even if that means wiping out your pathetic species!,,,,,,
We are obligated to defend life in all its forms!,,,,,,
Hey! You were zoning out there for a second.,,,,,,
You don't look so well.,,,,,,
Perhaps you should consider retirement?,,,,,,
Are you ok?,,,,,,
The stress of planning may be too much for your age.,,,,,,
"::BOOM:: There goes my trusty hail cannon, ::BOOM:: working it's magic.",,,,,,
"For the last 20 years since I installed the hail cannon, I haven't seen any hail coming to destroy my crops.",,,,,,
"There hasn't been hail in the area for the last 20 years in general though, not just surrounding your farm...",,,,,,
Hail cannons are really unlikely to disturb the formation of hailstones in the atmosphere.,,,,,,
So amazing that farmers came up with this novel geoengineering idea.,,,,,,
"These heat waves have extended all the way to the boreal forest, That's very dangerous.",,,,,,
"Because the boreal forest is not managed as intensely as other forests, the trees have been able to grow undisturbed, amassing large amounts of carbon in their roots and trunks. Twenty percent of the carbon held in forests in the world is in the boreal forest. ",,,,,,
"Because the boreal forest is not managed as intensely as other forests, the trees have been able to grow undisturbed, amassing large amounts of carbon in their roots and trunks. Twenty percent of the carbon held in forests in the world is in the boreal forest. ",,,,,,
"Frequent fire also threatens the permafrost—it can also lead to burning belowground, which melts the permafrost and can emit large amounts of carbon in a short time.",,,,,,
"The boreal forest is shifting from a carbon sink to a carbon source, meaning it emits more carbon than it stores.",,,,,,
"But most of the carbon is found in the permafrost, an underground layer of ice, rock, sand, and soil that is below freezing. The permafrost layer represents the largest carbon sink in the world.",,,,,,
"A copper mining operation opened near my town, even after we voted against it!",,,,,,
"It's too close to us and our water supply, and people are getting stick from it!",,,,,,
I thought this kind of thing was behind us!,,,,,,
Surely there are better sites? How desperate are we for copper that we need to be put in harm's way for it?,,,,,,
We've come to the end of your first planning cycle.,,,,,,
Improvements will foster confidence in your planning and gain you [political_capital] political capital.,,,,,,
To manage your [political_capital] political capital you'll need to balance short-term improvements with your long-term plans.,,,,,,
"On the flip side, setbacks and worsening conditions will lose you [political_capital] political capital.",,,,,,
At the end of each cycle you'll be presented a report summarizing changes.,,,,,,
"The auroch went extinct in 1627, but it has proven possible to 'back-breed' cattle and recover lost traits such as longer legs and horns.",,,,,,
"We call the breed 'Tauros' because they are not true aurochs, but pretty close. ",,,,,,
They will fill an important ecological niche in rewilding programs.,,,,,,
Have you been to our Havana offices?,,,,,,
"We have supercomputers to make a series of global plans simulating snapshots of the future: say, five detailed blueprints of the planet five years out, ten for the coming decade, and a couple dozen for the next quarter century.",,,,,,
Oh it isn't just me. Thousands of people work there from all over the world.,,,,,,
"Havana has had the most experience with planning, decarbonization, and organic agriculture, so I guess it made sense to put the bureau there..",,,,,,
"Well, the parts of the world that have joined the Half-Earth Socialist bloc all provide data, technical expertise, and proposals to the central planning bureau in Cuba.",,,,,,
Heatwaves are so frequent and intense these days...,,,,,,
"It's made life more bearable, although of course not everyone can work at night.",,,,,,
I hope to,,,,,,
...most people can barely be outside during the day.,,,,,,
"people sleep during the day, and do everything else at night.",,,,,,
My town has shifted everything to a night schedule--,,,,,,
I hope to see a return to how things were one day. I miss the sun.,,,,,,
It's happening...major pollinator populations are collapsing.,,,,,,
This will just threaten broader ecosystems even more.,,,,,,
"We'll have to manually pollinate some crops, which means yields will decline...",,,,,,
Pollinators are important to ecosystems in addition to their role in agriculture.,,,,,,
I've noticed your vitals are dipping...,,,,,,
"...you're getting up there in age, don't forget to take some time to rest.",,,,,,
"With the move away from meat consumption, livestock operations are stuck with billions of animals and nothing to do with them.",,,,,,
What should we do with them?,,,,,,
We can't release them into the wild because that would wreak havoc on ecosystems.,,,,,,
My neighbors and I got rid of our lawns and encouraged native grasses to grow instead.,,,,,,
"Vole and shrew populations have rebounded, as have wildflowers like lupine (my favorite).",,,,,,
"I've grown to appreciate how much we can do for our local environment, even as we try to change the world.",,,,,,
"Beautiful. These changes have brought a wealth of wildlife into our cities, like voles, shrews, and lupine!",,,,,,
We rewilded the local golf course. I don't even miss the game as I got into birding instead.,,,,,,
My town has become contaminated by the old tailings leaking into the ground water. People are dying.,,,,,,
There needs to be a major global program to remediate abandoned mines.,,,,,,
"There used to be a lot of rare earth mining around here, but it's long been abandoned.",,,,,,
But those damn pigs never cleaned anything up! And now we're being poisoned because of it.,,,,,,
I feel like you truly have the interest of non-human life at heart.,,,,,,
The Animal Liberationist is now an [ally] ally. Food projects are much cheaper.,,,,,,
Not many feel the same way...,,,,,,
My party will join your coalition.,,,,,,
Non-humans will finally have a voice in government!,,,,,,
I appreciate how well we've worked together...,,,,,,
We know what's best for humanity and the natural world...,,,,,,
but the other parties just get in the way.,,,,,,
If we suspend parliament we could implement our plans without any obstruction.,,,,,,
I have a proposal to take our relationship to the next level.,,,,,,
"I have an idea, something we tried back in the 2010s against the anti-frackers...",,,,,,
Aren't your enemies so irritating? What can we do to restrict their reach?,,,,,,
The Authoritarian is now an [ally] ally. You won't lose if contentedness dips below 0.,,,,,,
"Planner--we told you to leave the earth-killing Accelerationist behind, but you wouldn't listen.",,,,,,
Now we're left with no other choice but to strike at the heart of your grotesque industry!,,,,,,
The tests are in!,,,,,,
"So many fewer respiratory illnesses and other complications, saving millions of lives a year.",,,,,,
People seem happier now. Keep up the good work!,,,,,,
"My skin feels so much better, and my daughter has barely needed her inhaler in recent years.",,,,,,
Declining fossil fuel combustion has meant a drastic drop in air pollution.,,,,,,
"So many fewer respiratory illnesses and other complications, saving millions of lives a year.",,,,,,
"What a disaster! All those people had to leave their homes and try to make a new life in the cooler, more stable parts of the world. ",,,,,,
Don't be a fool. It's their fault they didn't adapt or prove resilient in these hard times. I say we keep them out.,,,,,,
"We should help them, even if it will make things difficult for us here.",,,,,,
"Large-scale projects, like mass electrification or geoengineering schemes, will help provide the foundation for a better world.",,,,,,
"Just like with Research cards, swipe these up to scan them and add [initiative] infrastructure points.",,,,,,
Here you can turn [political_capital] political capital into [initiative] infrastructure points and use that to set build these projects.,,,,,,
People aren't happy with the way things are going...,,,,,,
...they're wrecking factories and laboratories in protest.,,,,,,
This will make your plans harder to implement...,,,,,,
Incredible. The greatest city our planet has ever known...,,,,,,
More like a vast networked ecology than anything designed by a human.,,,,,,
Seems more like a rat's nest to me...,,,,,,
The world was divided over your death...,,,,,,
"Some mourned the loss of someone with tremendous potential, while others cheered the death of a misguided tyrant.",,,,,,
And the anxious fear of a changing planet still haunted the world.,,,,,,
If only you could have done more...,,,,,,
We can't build homes on top of toxic land fills or near dangerous nuclear power plants.,,,,,,
We need to shift more quickly to renewable energy!,,,,,,
The ecofeminist movement is strong and will mobilize quickly against environmental injustices.,,,,,,
You're digging your own grave.,,,,,,
The Authoritarian is now a [nemesis] nemesis.,,,,,,
Without force we'll never save the planet.,,,,,,
Your plans mean nothing if you let people's ignorance and impulsiveness run loose.,,,,,,
It's for the best.,,,,,,
"Well, this is an upsetting milestone: ocean plastic weighs more than fish.",,,,,,
We still rely too heavily on fossil fuels and plastics!,,,,,,
Biodiversity has been plummeting...,,,,,,
"I don't know if it will work, but it's worth a try.",,,,,,
But there may be something we can try.,,,,,,
...in case the worst should come to pass.,,,,,,
I'm afraid that most of Earth's species will be lost forever.,,,,,,
It would have been better if we could have stopped extinctions from happening at all.,,,,,,
It would have been better if we could have stopped extinctions from happening at all.,,,,,,
Our reliance on hydropower as a major source of energy has meant the construction of several mega-dams across the world's waterways.,,,,,,
"As reservoirs fill, upstream forests are flooded, eliminating their function as carbon sinks.",,,,,,
"The dam constructed on the border between Paraguay and Brazil in the 1970s and 1980s, resulted in a 70 percent loss of biodiversity.",,,,,,
I for one am really impressed with our ability to shape natural environments and control water.,,,,,,
"I realize your intentions were good, but you just created more problems.",,,,,,
"We're able to produce quite a bit of power, but it has displaced millions of people and damaged ecosystems.",,,,,,
And they just contributed to climate change!,,,,,,
"And as the drowned vegetation decomposes, decaying plants in man-made reservoirs release methane, a powerful greenhouse gas.",,,,,,
"Aquatic species, particularly fish, are vulnerable to the impacts of dams.",,,,,,
There are many more birds than before because we have done so much to protect nature in recent years.,,,,,,
"I like yellowhammers, one of Rosa Luxemburg's favourite birds. What's your 'spark bird'?",,,,,,
There's been a spike in depression and similar mental health problems as of late.,,,,,,
Researchers are speculating that it has to do with the solar radiation management project...,,,,,,
living under a constant grey sky can't be good for one's mood.,,,,,,
Around the world many are marveling at the recovery of a once rare species.,,,,,,
I'm glad more people will be able to experience that.,,,,,,
You step back from your planning console and let out a sigh...,,,,,,
"Were they necessary, or did you just fumble your way through them?",,,,,,
You can't help but wonder how things could have gone differently.,,,,,,
Was this the only way?,,,,,,
So many unpopular and damaging decisions...,,,,,,
"You managed to last all this time, but how has everyone else fared?",,,,,,
..the weight of a decades-long career shedding from your shoulders.,,,,,,
Climate change has enabled boring insects and other tree parasites to expand their range.,,,,,,
"The trees look alive, but they're dying. This means more fire and carbon emissions...",,,,,,
"CO2 is denser than air, so the deadly cloud stayed long enough at ground level to kill two thousand people and countless animals within minutes.",,,,,,
"We try to store CO2 as safely as we can, but some accidents are inevitable. This will be bad for morale.",,,,,,
"For so long the polar bear was the mascot of our movement, and now it's gone...",,,,,,
We can't let all of these people move into countries that prepared better for these crises. It's their own fault they did not create resilient societies.,,,,,,
"If there were fewer people, perhaps we could lower emissions. I recommend you close borders and take harsher measures.",,,,,,
What are you talking about? We have to help everyone we can.,,,,,,
"I've followed your planning for some time now, and I see you have the interests of the world at heart.",,,,,,
"And by ""world"", I do mean the *whole* world, and not just the wealthy regions like some mean with that term.",,,,,,
My party is happy to join your coalition.,,,,,,
I hope that together we can undo at least some part of centuries of injustices.,,,,,,
The Fanonist is now an [ally] ally. The contentedness of lower and lower-middle income regions will recover more quickly.,,,,,,
We are tired of living under your reign of terror! Your time is up.,,,,,,
Prepare to die!,,,,,,
You ought to--,,,,,,
Models have long predicted that warming will increase hurricane strength.,,,,,,
Otherwise many places will become inhospitable.,,,,,,
We ought to do whatever we can to bring down the temperature to reduce this risk.,,,,,,
"Monsoons throughout the Indian subcontinent have been weaker and less frequent, disrupting a vital component of that region's climate.",,,,,,
Residents there are understandably upset and--,,,,,,
There must be alternatives that don't require sacrificing us!,,,,,,
"This is a terrible cost that we are made to bear, and we won't take it any longer!",,,,,,
I urge you to act soon. Others are talking of more aggressive ways of stopping the project.,,,,,,
How did this happen??,Wie kam es dazu?,,,,,
What's dihé?,Was ist Dihé?,,,,,
Sounds delicious!,Hört sich lecker an!,,,,,
That's great!,Das ist super!,,,,,
"Wait a minute, jellyfish isn't vegan...","Moment mal, Quallen sind nicht vegan...",,,,,
Hello.,Hallo.,,,,,
Let's get straight to it!,Kommen wir gleich zur Sache!,,,,,
Got it.,Ich hab es verstanden.,,,,,
Could you repeat that?,Könnten Sie das wiederholen?,,,,,
"Ew, no mushrooms are gross.","Ih, keine Pilze. Die sind ekelig.",,,,,
"Yes, it will be my life's passion.","Ja, es wird die Leidenschaft meines Lebens sein.",,,,,
How is that?,Wie ist das?,,,,,
We need this to happen--expand the mines!,Wir brauchen das--expandiert die Minen!,,,,,
We can't force more mines on people. Let the project take longer.,Wir können den Menschen nicht noch mehr Minen aufzwingen. Lassen Sie das Projekt länger dauern.,,,,,
Symbiosis with nature is crucial.,Die Symbiose mit der Natur ist entscheidend.,,,,,
A hard line is necessary!,Eine harte Linie ist notwendig!,,,,,
Technology is the key to liberation.,Technologie ist der Schlüssel zur Befreiung.,,,,,
Thanks.,Danke.,,,,,
Could you explain everything again?,Könntest du das alles noch einmal erklären?,,,,,
Scum! This is the only way to save the planet!,Abschaum! Nur so kann der Planet gerettet werden!,,,,,
I did what I thought was best.,"Ich tat das, was ich für das Beste hielt.",,,,,
I didn't know what I was doing!,"Ich wusste nicht, was ich tat!",,,,,
They have a point...,Sie haben Recht...,,,,,
What a nuisance!,Was für ein Ärgernis!,,,,,
Why?,Warum?,,,,,
What's that?,Was ist das?,,,,,
Why Havana?,Warum Havanna?,,,,,
What do you do there?,Was machst du dort?,,,,,
Create public sanctuaries where they can live out their final days.,"Erschaffe öffentliche Zufluchtsorte, in denen sie ihre letzten Tage verbringen können.",,,,,
We'll throw a series of feasts so they don't go to waste.,"Wir werden eine Reihe von Festen veranstalten, damit sie nicht verschwendet werden.",,,,,
What can we do?,Was können wir machen?,,,,,
Event Arcs,0,,0,0,,Y
Ice Melting,Eisschmelze,,,,,
Running Out,Erschöpfung,,,,,
Dead Bugs,Tote Käfer,,,,,
How's My Planning?,Wie ist meine Planung?,,,,,
The Leather Underground,Der Leder-Untergrund,,,,,
Ancient Disease,Uralte Krankheit,,,,,
Earth Liberation Front,Die Weltbefreiungskämpfer*innen,,,,,
Gone Forever,Für immer verschwunden,,,,,
Miracles,Wunder,,,,,
A Dying Planet,Ein sterbender Planet,,,,,
New Tastes,Neue Geschmäcker,,,,,
We Have Visitors,Wir haben Besuch,,,,,
"Fukushima, Mon Amour","Fukushima, Mon Amour",,,,,
Eden Earth,Eden Erde,,,,,
"A Sick, Sick World","Eine kranke, kranke Welt",,,,,
A New Life,Ein neues Leben,,,,,
Power Hungry,Machthungrig,,,,,
Under a White Sky,Unter weißem Himmel,,,,,
Wildfires,Waldbrände,,,,,
Food Sovereignty,Ernährungssouveränität,,,,,
Migrations,Migrationen,,,,,
Commentary,Kommentar,,,,,
Capturing Carbon,Kohlenstoff einfangen,,,,,
Making Friends,Anfreundend,,,,,
Tutorial,Tutorium,,,,,
Rotten Harvest,Faule Ernte,,,,,
Escape Velocity,Fluchtgeschwindigkeit,,,,,
Natural Disasters,Naturkatastrophen,,,,,
Poisoned Land,Vergiftetes Land,,,,,
A Rising Tide,Eine steigende Flut,,,,,
The End,Das Ende ,,,,,
Crucible Earth,Schmelztiegel-Erde,,,,,
Making Enemies,Sich Feinde machen,,,,,
The Wretched,Die Elenden,,,,,
Desperate Times,Verzweifelte Zeiten,,,,,
Feature Descriptions,0,,0,0,,Y
solar processes,Solare Prozesse,,,,,
intermittent processes,Unregelmäßige Prozesse,,,,,
processes that may meltdown,"Prozesse, die zum Zusammenbruch führen können",,,,,
processes that produce nuclear waste,"Prozesse, bei denen Atommüll entsteht",,,,,
especially labor-intensive processes,besonders arbeitsintensive Prozesse,,,,,
combustion processes,Verbrennungsprozesse,,,,,
fossil fuel processes,Prozesse für fossile Brennstoffe,,,,,
oil processes,Erdölprozesse,,,,,
carbon capture processes,Prozesse zur Kohlenstoffdioxid-Abscheidung,,,,,
processes that use livestock,"Prozesse, bei denen Nutztiere verwendet werden",,,,,
processes that use pesticides,"Prozesse, bei denen Pestizide verwendet werden",,,,,
processes that use synthetic fertilizers,"Prozesse, bei denen synthetische Düngemittel verwendet werden",,,,,
This process relies on the sun.,Dieser Prozess beruht auf der Sonne.,,,,,
This process is intermittent.,Dieser Prozess ist unterbrochen.,,,,,
This process can meltdown.,Dieser Prozess kann zum Schmelzen kommen.,,,,,
This process produces nuclear waste.,Bei diesem Prozess entsteht Atommüll.,,,,,
This process is especially labor-intensive.,Dieser Prozess ist besonders arbeitsintensiv.,,,,,
This process involves combustion.,Bei diesem Prozess handelt es sich um eine Verbrennung.,,,,,
This process uses fossil fuels.,Bei diesem Verfahren werden fossile Brennstoffe verwendet.,,,,,
This process captures and stores carbon.,Bei diesem Prozess wird Kohlenstoff gebunden und gespeichert.,,,,,
This process uses livestock.,Bei diesem Verfahren werden Nutztiere verwendet.,,,,,
This process use pesticides.,Bei diesem Verfahren werden Pestizide verwendet.,,,,,
This process uses synthetic fertilizers.,Bei diesem Verfahren werden synthetische Düngemittel verwendet.,,,,,
This process uses soil.,Bei diesem Verfahren wird Erde verwendet.,,,,,
This process uses oil.,Bei diesem Verfahren wird Erdöl verwendet.,,,,,
UI,0,,0,0,,Y
fuel,Brennstoff,,,,,
electricity,Elektrizität,,,,,
plant-based food,Pflanzliche Lebensmittel,,,,,
animal-based food,tierische Lebensmittel,,,,,
land,Land,,,,,
crops,Landwirtschaftliche Erzeugnisse,,,,Must be the same on line 731,
livestock,Nutztiere,,,,Must be the same on line 732,
Ally,Verbündete,,,,,
Friendly,Freundlich,,,,,
Nemesis,Nemesis,,,,,
Neutral,Neutral,,,,,
Temperature Change,Temperaturveränderung,,,,,
Production Shortages,Produktionsengpässe,,,,,
Post-Revolution Optimism,Optimismus nach der Revolution,,,,,
Nature Preserves,Naturschutzgebiete,,,,,
Sea Level Rise,Anstieg des Meeresspiegels,,,,,
Very Low,Sehr niedrig,,,,,
Low,Niedrig,,,,,
Moderate,Mäßig,,,,,
High,Hoch,,,,,
Very High,Sehr hoch,,,,,
Seceded,Getrennt,,,,,
Only direct impacts are shown.,Es werden nur direkte Auswirkungen angezeigt.,,,,,
Total,Total,,,,,
makes,macht,,,,,
causes,bewirkt,,,,,
uses,benutzt,,,,,
Sector,Sektor,,,,,
This industry is not yet significant.,Diese Branche ist noch nicht bedeutend.,,,,,
Image:,Bild:,,,,,
Parliament,Parlament,,,,,
Likes,Gefällt mir,,,,as in social media likes ,
Dislikes,Gefällt mir nicht,,,,as used in social media ,
Level,Level,,,,,
Next Level,Nächstes Level,,,,,
Prev Level,Vorheriges Level,,,,,
Completed,Abgeschlossen,,,,,
"Because of opposition, this requires a majority in parliament.",Wegen der Opposition braucht es dafür eine Mehrheit im Parlament.,,,,,
Upgrading in one planning cycle.,Upgrade in einem Planungszyklus.,,,,,
Researching,Forschend,,,,,
Building,Bauen,Gebäude,,,as in the use of the verb building ,
Political Effects,Politische Auswirkungen,,,,,
Yea,Ja,,,,,
Nay,Nein,,,,,
1 planning cycle left,Noch 1 Planungszyklus übrig,,,,,
{years} yrs left,{years} Jahre übrig,,,,,
{cost} yrs,{cost} Jahre,,,,,
cm/yr,cm/Jahr,,,,I don't really get this one,
Project Completed,Projekt abgeschlossen,,,,,
Policy Outcome,Politisches Ergebnis,,,,,
Region Developed,Erschlossene Region,,,,,
This region previous income level.,Das vorherige Einkommensniveau dieser Region,,,,,
This region new income level.,Das neue Einkommensniveau dieser Region,,,,,
This region previous demand for {output}.,Die vorherige Nachfrage dieser Region nach {output}.,,,,,
This region new demand for {output}.,Die neue Nachfrage dieser Region nach {output}.,,,,,
Region Contracted,Region eingegangen,,,,,
Emissions,Emissionen,,,,,
Land Use,Landnutzung,,,,,
Energy Use,Energienutzung,,,,,
Water Stress,Wasserstress,,,,,
Sea Level Rise,Anstieg des Meeresspiegels,,,,,
Extinction Rate,Aussterberate,,,,,
Population,Bevölkerung,,,,,
Avg. Living Standards,Durchschnittlicher Lebensstandard,,,,,
Avg. Habitability,Durchschnittliche Bewohnbarkeit,,,,,
Parliament Suspended,Parlament suspendiert,,,,,
Your coalition has {coalitionSeats}/{totalSeats} seats.,Ihre Koalition hat {coalitionSeats}/{totalSeats} Sitze.,,,,,
Add,Hinzufügen,,,,,
View All,Alles anzeigen,,,,,
Change Production,Veränderungsproduktion,,,,,
Ready,Bereit,,,,"as in ""ready to rumble""",
Back,Zurück,,,,,
Plan,Plan,,,,,
Govt,Regierung,,,,,
Stats,Statistik,,,,,
World,Welt,,,,,
emissions,Emissionen,,,,,
energy use,Energienutzung,,,,,
land use,Landnutzung,,,,,
water use,Wassernutzung,,,,,
the extinction rate,Die Aussterberate,,,,,
increase {k} by {warn}{change}%,{k} um {warn}{change}% erhöhen,,,,,
decrease {k} by {change}%,{k} um {change}% verringern,,,,,
They won't have much effect.,Sie werden keine große Wirkung haben.,,,,,
This output's production will,Die Produktion dieses Outputs wird,,,,,
Research,Forschung,,,,,
Infrastructure,Infrastruktur,,,,,
Policies,Richtlinien ,,,,,
Development Progress,Entwicklungsfortschritt,,,,,
Max Level,Max. Stufe,,,,,
Recent Disasters,Jüngste Katastrophen,,,,,
Skip,überspringen,,,,,
Try Again?,Wiederholen?,,,,,
Continue,Fortsetzen,,,,,
The world can still be salvaged...,Die Welt kann noch gerettet werden...,,,,,
This is not the end...,Das ist noch nicht das Ende...,,,,,
Well Played!,Gut gespielt!,,,,,
You have {yearsLeft} years left in your tenure.,Sie haben noch {yearsLeft} Jahre in Ihrer Amtszeit.,,,,,
The {n}{ext} Planning Session,Die {n}{ext} Planungssitzung,,,,,
1st,1. Platz,,,,,
2nd,2. Platz,,,,,
3rd,3. Platz,,,,,
4th,4. Platz,,,,,
5th,5. Platz,,,,,
6th,6. Platz,,,,,
7th,7. Platz,,,,,
8th,8. Platz,,,,,
9th,9. Platz,,,,,
10th,10. Platz ,,,,,
11th,11. Platz,,,,,
12th,12. Platz,,,,,
13th,13. Platz,,,,,
14th,14. Platz ,,,,,
Parliament is conspiring against you,Das Parlament verschwört sich gegen Sie,,,,,
Parliament is ready to work with you,"Das Parlament ist bereit, mit Ihnen zusammenzuarbeiten",,,,,
Parliament trusts you completely,Das Parlament vertraut Ihnen voll und ganz,,,,,
The world is still warming,Die Welt erwärmt sich immer noch,,,,,
The world is recovering,Die Welt erholt sich,,,,,
The world is becoming unbearable,Die Welt wird unerträglich,,,,,
The world is becoming hostile to life,Die Welt wird lebensfeindlich,,,,,
Biodiversity is flourishing,Die Artenvielfalt blüht,,,,,
Biodiversity is recovering,Artenvielfalt erholt sich,,,,,
Biodiversity is stabilizing,Artenvielfalt stabilisiert sich,,,,,
Biodiversity is struggling,Die Artenvielfalt hat zu kämpfen,,,,,
Biodiversity is suffering,Die Artenvielfalt leidet,,,,,
Biodiversity is plummeting,Die Artenvielfalt sinkt,,,,,
People are furious,Die Leute sind wütend,,,,,
People are upset,Die Leute sind verärgert,,,,,
People are unhappy,Die Menschen sind unglücklich,,,,,
People are content,Die Menschen sind zufrieden,,,,,
People are happy,Die Menschen sind glücklich,,,,,
People are ecstatic,Die Menschen sind begeistert,,,,,
Report,Bericht,,,,,
Changes,Änderungen,,,,,
Temperature,Temperatur,,,,,
Contentedness,Zufriedenheit,,,,,
Extinction Rate,Aussterberate,,,,,
Post-Revolution Optimism,Optimismus nach der Revolution,,,,,
Completed Projects,Abgeschlossene Projekte,,,,,
This project was completed.,Dieses Projekt wurde abgeschlossen.,,,,,
Completed Requests,Abgeschlossene Anfragen,,,,,
Completed Request: Implement {name},Abgeschlossene Anforderung: {name} implementieren,,,,,
Completed Request: Stop {name},Abgeschlossene Anforderung: Beenden {name},,,,,
Completed Request: Unban {name},Abgeschlossene Anfrage: Entsperrung von {name},,,,,
Completed Request: Ban {name},Abgeschlossene Anfrage: Sperren {name},,,,,
Total Change,Gesamtveränderung,,,,,
Events,Ereignisse,,,,,
Regions,Regionen,,,,,
Tap for more details.,"Tippen Sie auf, um weitere Informationen zu erhalten.",,,,,
{region} is now {income} income.,{region} ist jetzt {income} Einkommen.,,,,,
Disasters,Katastrophen,,,,,
Reduce the habitability of regions.,Verringern Sie die Bewohnbarkeit von Regionen.,,,,,
Next,Nächster,,,,,
This event occurred during this planning cycle.,Dieses Ereignis trat während dieses Planungszyklus auf.,,,,,
Based on the book,Basierend auf dem Buch,,,,,
Thank you for playing!,Danke fürs Spielen!,,,,,
Concept,Begriff,,,,,
Design,Design,,,,,
Development,Entwicklung,,,,,
Research and Writing,Recherche und Schreiben,,,,,
Music,Musik,,,,,
Playtesting,Spieltests,,,,,
Translation,Übersetzung,,,,,
Loading,Laden,,,,,
Loading saved data,Gespeicherte Daten laden,,,,,
Booting Up,Hochfahren,,,,,
Political Capital,Politisches Kapital,,,,,
CO2 Emissions/Yr,CO2-Emissionen/Jahr,,,,,
Temp. Anomaly,Temperatur Anomalie,,,,as in temporary or in temperature? I wrote temperature ,
Tips,Tips,,,,,
Restart Game,Spiel neu starten,,,,,
Credits,Guthaben,,,,,
A Planetary Crisis Planning Game,Ein planetarisches Krisenplanungsspiel,,,,,
New Game,Neues Spiel,,,,,
Sound,Ton,,,,,
Read the book,Lesen Sie das Buch,,,,,
On,An ,,,,,
Off,Aus ,,,,,
Are you sure you want to start over?,"Bist du sicher, dass du noch einmal von vorne anfangen willst?",,,,,
Undo,Aufmachen,,,,,
Withdraw,Zurückziehen,,,,,
Downgrade,Degradieren,,,,,
Remove points,Punkte entfernen,,,,,
Water,Wasser ,,,,,
Energy,Energie,,,,,
Emissions,Emissionen,,,,,
Biodiversity,Biodiversität,,,,,
water,wasser ,,,,,
energy,energie,,,,,
emissions,emissionen,,,,,
biodiversity,biodiversität,,,,,
{disaster} in {region},{Katastrophe} in {Region},,,,,
Menu,Menü,,,,,
Now,Jetzt,,,,,
Under current plan,Nach derzeitigem Plan,,,,,
years,jahre,,,,,
Tips,0,,0,0,,Y
This industry's demand for {output}. This makes up {percent} of total demand for {output}.,Die Nachfrage dieser Branche nach {output}. Dies macht {percent} des Gesamtbedarfs für {output} aus.,,,,,
