English,機械翻訳/machine translation,こんな翻訳もありかも？,Translation,要確認：Yを入力,コメント / comments,Section,,他の翻訳案 / alternative suggestions
Because of resource availability this process can only make up to {maxPercent}% of production.{suggestion} ,リソースの都合上、このプロセスは生産量の{maxPercent}%までしか作れない{提案}。,,使用可能な資源の都合により、この方法では生産量の{maxPercent}％までしかまかなうことができない。{suggestion},,,,,
This process can't produce this much because of feedstock or other limits. You should reallocate its points to other processes.,この工程では、原料やその他の制限により、これだけの量を生産することはできません。他の工程にポイントを振り分けてください。,,この方法では、資源やその他の制限要因により、必要な量を生産することができない。ポイントの割り当てを他の方法に変更する必要がある。,,,,,
You should reallocate its points to other processes.,そのポイントを他のプロセスに再割り当てする必要があります。,,ポイントの割り当てを他の方法に変更する必要がある。,,,,,
"{name} is opposed to this. If you ban it, your relationship will improve by +<img src='{icon}' />.",{名前}が反対している。禁止すれば、+<img src='{icon}' />で関係が良くなる。,,{name}は、この施策に反対している。もしあなたがこの施策を禁止すると、{name}との関係が良くなる。＋<img src='{icon}' />,,,,,
"{name} is opposed to this. If you implement it, your relationship will worsen by -<img src='{icon}' />.",{名前}はこれに反対しています。実施すると、-<img src='{icon}' />で関係が悪化します。,,{name}は、この施策に反対している。もしあなたがこの施策を実行すると、{name}との関係が悪くなる。－<img src='{icon}' />,,,,,
"{name} supports this. If you implement it, your relationship will improve by +<img src='{icon}' />.",{name}はこれをサポートしています。実装すれば、+<img src='{icon}' />で関係が改善されます。,,{name}は、この施策に賛成している。もしあなたがこの施策を実行すると、{name}との関係が良くなる。＋<img src='{icon}' />,,,,,
Because of resource availability this process can only make up to {maxPercent}% of production.,リソースの都合上、この工程は生産量の{maxPercent}%までしか作れない。,,使用可能な資源の都合により、この方法では生産量の{maxPercent}%までしかまかなうことができない。,,,,,
There is currently no limit on this process' mix share.,現在、このプロセスのミックスシェアは制限されていません。,,現在、この方法のポイントの割り当てを変更することはできない。,,,,,
This process currently produces {amount}<img src='{outputIcon}'> and {emissions}<img src='{emissionsIcon}'> per year.,このプロセスでは現在、年間{金額}<img src='{outputIcon}'>と{排出量}<img src='{emissionsIcon}'>を生産しています。,,この方法は１年間で、{amount}<img src='{outputIcon}'> を生み出し、 {emissions}<img src='{emissionsIcon}'> を排出している。,,,,,
This process currently makes up {mixPercent}% of {output} production.,このプロセスは現在、{出力}の生産量の{mixPercent}%を占めています。,,この方法は、{output} の生産量のうち、 {mixPercent}%を占めている。,,,,,
"This feedstock is depleted, so this process is stopped. You should reallocate its points to other processes.",この原料は枯渇しているため、このプロセスは停止しています。他のプロセスにそのポイントを再割り当てする必要があります。,,必要な資源が枯渇したため、この方法は停止している。ポイントの割り当てを他の方法に変更する必要がある。,,,,,
At current usage rates the estimated supply is expected to last {years} years.,現在の使用率では、推定供給量は{年}年続くと予想されます。,,現在の使用率から、 あと{years} 年間、供給が可能であると推定されている。,,,,,
At current usage rates the estimated supply is expected to last indefinitely.,現在の使用率では、推定供給量は無期限に続くと予想されます。,,現在の使用率から、供給が尽きることはないと推定されている。,,,,,
Land: They're not making anymore of it. You're using {percent}% of land.,陸上です。もう作っていないんだ。パーセント}%の土地を使っていますね。,,陸地：生産に使用していない土地。現在、{percent}%の陸地を使用している。,,,,,
Emissions: A shroud around the earth. You're emitting {amount} gigatonnes per year.,エミッション。地球を包む覆い。年間{量}ギガトンを排出していますね。,,排気ガス：地球を覆う排気ガス。現在、年間で {amount}Gtの排気ガスを排出している。,,,,,
Water: The giver of life. You're using {percent}% of water resources.,水。生命の与え手。あなたは水資源を{パーセント}%使用しています。,,水資源：全ての命を支えている。現在、 {percent}％の水資源を使用している。,,,,,
Energy: The fundamental mover. You're using {amount}TWh of energy.,エネルギー基本的な動きのこと。あなたは{量}TWhのエネルギーを使っています。,,エネルギー：基本的な動力。現在、{amount}TWhのエネルギーを使用している。,,,,,
Biodiversity: The co-inhabitants of the planet. The current biodiversity threat index is {amount}.,生物多様性。地球上に生息する同種の生物。現在の生物多様性脅威指数は{金額}です。,,生物多様性：地球上に共に暮らす生命。現在の生物多様性の脅威指数は、{amount} である。,,,,,
{points} {kind} points are allocated to this project,{ポイント｝のこのプロジェクトには{kind}ポイントが割り当てられています。,,この施策には、{points} {kind}ポイントが割り当てられている。,,,,,
This policy costs {remainingCost} political capital to implement.,この政策を実行するには、{remainingCost}政治資本が必要です。,,この施策を実行するには、政治資本{remainingCost}が必要である。,,,,,
This will take about {remainingCost} to finish. Allocate more {kind} points to accelerate its progress.,この場合、終了までに{remainingCost}程度の時間がかかります。より多くの{kind}ポイントを割り当てて、その進行を加速させます。,,この施策は完了までに{remainingCost} 年かかる。{kind}ポイントを使用することで、進行を早めることができる。,,,,,
This region's current temperature range.,この地域の現在の気温範囲。,,この地域の最低気温と最高気温。,,,,,
This region's current precipitation range.,この地域の現在の降水量の範囲。,,この地域の最低気温と最高気温。降水量,,,,,
This region has {incomeName} living standards. Higher living standards mean higher material footprints.,この地域の生活水準は{incomeName}です。生活水準が高いということは、マテリアルフットプリントが高いということです。,,この地域には {incomeName} の人が住んでいる。 生活水準が高い地域ほど天然資源を多く消費する。,,,,,
This region's habitability.,この地域の居住性,,この地域の住みやすさ,,,,,
This region's contentedness.,この地域の充実度,,この地域の満足度,,,,,
This region's per-capita demand level for {output}. The total regions's demand is {demand}<img src='{icon}' />. This makes up {percent} of total demand for {output}.,この地域の一人当たりの{出力}の需要レベル。全地域の需要は{demand}<img src='{icon}' />である。これは{出力}の総需要の{パーセント}を構成しています。,,この地域の1人あたりの{output}の需要レベル。 {output}の全地域の需要量は{demand}<img src='{icon}' />であり、この地域の需要量は全体の{percent}を占める。,,,,,
The factors behind this event.↓,今回のイベントの要因↓。,,↓この出来事の原因,,,,,
"Current annual emissions, in gigatonnes of CO2 equivalent.",現在の年間排出量（単位：CO2換算ギガトン）。,,現在のCO2排出量(ギガトン)の内訳,,,,,
The estimated value after production changes have finished.,生産変動が終了した後の推定値です。,,生産変更後の推定値,,,,,
Current land use.,現在の土地利用,,現在の土地利用の内訳,,,,,
Current energy use.,現在のエネルギー使用量。,,現在のエネルギー使用量の内訳,,,,,
Current water demand.,現在の水需要,,現在の水資源の使用量の内訳,,,,,
Average sea levels have risen by {rise}m and are rising at a rate of {rate}mm per year.,平均海面水位は{rise}m上昇し、年間{rate}mmの割合で上昇している。,,海面水位は{rise}m上昇した。1年間あたり{rate}mmずつ上昇している。,,,,,
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse.",現在の生物多様性の圧力。高い土地利用などがこれを高め、それに伴い生態系が崩壊する危険性があります。,,現在の生物多様性に対する負荷。土地利用率の上昇などの要因が生物多様性に対する負荷となり、生態系崩壊の危険性が高まる。,,,,,
How many seats your coalition has. Draw parties to your coalition by implementing projects they support.,あなたの連合は何議席ありますか？政党が支持するプロジェクトを実施することで、政党をあなたの連合に引き込みます。,,あなたの同盟の議席数。各政党が支持する施策を実施することで、それぞれの政党をあなたの同盟に引き入れることができる。,,,,,
Add some cards to get started,カードを追加してスタート,,カードを追加してスタート,,,,,
There is not enough {resources}. You should change your production mixes to use less of these or reduce demand elsewhere.,資源が不足しています。生産構成を変更してこれらの使用量を減らすか、他の場所の需要を減らす必要があります。,,{resources} が不足している。{resources}の使用量を減らすか、他の場所での需要を減らすよう、生産構成を変更する必要がある。,,,,,
mild,温和,,懸念すべき状況,,,,,
alarming,由々しき,,注意すべき状況,,,,,
severe,凛々しい,,危機的な状況,,,,,
critical,クリティカル,,致命的な状況,,,,,
There are multiple production shortages:,複数の生産不足がある。,,だいぶ生産が不足している。,,,,,
There is a mild production shortage,軽度の生産不足がある,,少し生産が不足している。,,,,,
There is a alarming production shortage,生産不足が憂慮される,,生産不足が懸念される。,,,,,
There is a severe production shortage,深刻な生産不足,,深刻な生産不足に陥っている。,,,,,
There is a critical production shortage,危機的な生産不足が発生している,,生産不足が危機的な状況である。,,,,,
Under current plan,現行計画では,,現在の計画では,,,,,
Drag a card up to assign leftover production,カードを上にドラッグして、余った制作物を割り当てることができる,,カードを上にドラッグして、残りの生産ポイントを割り当てる,,,,,
One production point represents 5% of an entire production sector's productive capacity.,1プロダクションポイントは、生産部門全体の生産能力の5％に相当する。,,生産ポイント1つは、生産全体の生産能力の5% に相当する。,,,,,
These changes will take {changesTime} planning cycle{ext} to take effect.,これらの変更が有効になるには、{changesTime}計画サイクル{ext}が必要です。,,これらの変更が有効になるには、{changesTime}計画サイクル{ext}が必要である。,,,,,
Global demand for {output}.,アウトプット｝に対する世界的な需要。,,{output}の世界的な需要。,,,,,
"Current annual emissions, in gigatonnes of CO2 equivalent.",現在の年間排出量（単位：CO2換算ギガトン）。,,現在の年間排出量（単位：CO2換算ギガトン）。,,,,,
↑ Swipe this card up and hold to add it to your plan ↑,↑ このカードを上にスワイプしてホールドすると、プランに追加されます ↑。,,↑このカードを上にドラッグして一定時間静止すると、計画が実行される。,,,,,
⟵ Swipe sideways to see other projects ⟶ ,⟵ 横にスワイプして他のプロジェクトを見る ⊖ 27F6,,←→横にスワイプして、他のプロジェクトを見る。,,,,,
This region's progress to the next income level.,この地域の、次の所得水準への歩み。,,この地域が、次の所得水準に上がるまでのレベル。,,,,,
This region's habitability. Natural disasters and hotter temperatures lower habitability.,この地域の居住性自然災害と高温が居住性を下げる。,,この地域の住みやすさ。自然災害の頻度が高いことや、気温が高いことは、住みやすさの度合いを低下させる。,,,,,
This region's contentedness.,この地域の充実度,,この地域の満足度。,,,,,
This region has {incomeName} living standards. Higher living standards mean higher material footprints.,この地域の生活水準は{incomeName}です。生活水準が高いということは、マテリアルフットプリントが高いということです。,,この地域には {incomeName} の人が住んでいる。 生活水準が高い地域ほど天然資源を多く消費する。,,,,,
This region's per-capita demand level for {output}. The total regions's demand is {demand}. This makes up {demandPercent} of total demand for {output}.,この地域の{出力}に対する一人当たりの需要レベル。全地域の需要は{demand}です。 これは{output}の総需要の{demandPercent}を構成しています。,,この地域の{output}の1人あたりの需要レベル。全ての地域の需要は{demand}である。これは、{output} のすべて需要の {demandPercent}にあたる。,,,,,
"The current global temperature anomaly. <strong>Increased warming</strong> will damage your political capital. <b class=""tip-goal"">Your goal is to get this below 1°C.</b>","現在の地球の温度異常。 <strong>温暖化が進むと、あなたの政治資金が損なわれます。 <b class=""tip-goal"">あなたの目標は、これを1℃以下にすることです。</b>。",,"現在の地球の温度変化。<strong>温暖化が進行するほど</strong>より多くの政治資本が投入される。<b class=""tip-goal"">この数値を1℃以下にすることがあなたの目標である。</b>",,,,,
"The current biodiversity pressure. <strong>Increased biodiversity pressure</strong> will cost you political capital. <b class=""tip-goal"">Your goal is to get this to below 20.</b>","現在の生物多様性の圧力。 <strong>生物多様性の圧力の増加</strong>は、政治的資本のコストです。 <b class=""tip-goal"">あなたの目標は、これを20以下にすることです。</b>。",,"現在の生物多様性に対する負荷。 <strong>生物多様性に対する負荷の増加は</strong>、政治資本のコストである。<b class=""tip-goal"">この数値を20以下にすることが目標である。</b>",,,,,
"How people around the world feel about the state of things. <strong>Increasing or maintaining contentedness</strong> will gain you political capital. <b class=""tip-warn"">If this goes below 0 you will be removed from power.</b>","世界中の人々が物事の状態についてどう感じているか。 <strong>満足度</strong>を高めたり維持したりすると、政治的資本を得ることができます。 <b class=""tip-warn""> これが0以下になると、あなたは権力から排除されます。</b>。",,"世界中の人々が現状に対して感じていることを数値化したもの。 <strong>この数値を高めたり維持したりすることにより</strong>あなたは政治資本を得ることができる。<b class=""tip-warn"">もしこの数値が0以下になったら、あなたは責任者の任を解かれる。</b>",,,,,
"Current annual emissions, in gigatonnes of CO2 equivalent. <strong>Reducing emissions</strong> will gain you political capital. <b class=""tip-goal"">Your goal is to get this to below 0.</b>","現在の年間排出量、CO2換算でギガトン。 <strong>排出量を減らすこと</strong>は政治資金を得ることになる。 <b class=""tip-goal"">Your goal is to get below this to 0.</b> <b>あなたの目標はこれを0にすること。",,"現在のCO2の年間排出量。<strong>排出量を減らすことにより</strong>あなたは政治資本を得ることができる。 <b class=""tip-goal"">この数値を0以下にすることがあなたの目標である。</b>",,,,,
"How much political capital you have. Political capital is what you spend to implement your plans. <b class=""tip-warn"">If you run out you'll be pushed out of government.</b>","政治資金をどれだけ持っているか。政治資金は計画を実行するために使うものです <b class=""tip-warning"">使い果たしたら政府から押し出されます</b>。",,"あなたが所持する政治資本。施策を実行するために使用する。 <b class=""tip-warn"">もし政治資本が0になったら、あなたは議会から追い出される。</b>",,,,,
"The current global temperature anomaly is +{anomaly}°C. The higher this is, the more unpredictable the climate becomes. <b class=""tip-goal"">Your goal is to get this below 1°C.</b>","現在の地球の温度異常は+{anomaly}℃です。これが高くなればなるほど、気候は予測できなくなります。 <b class=""tip-goal"">これを1℃以下にすることがあなたの目標です</b>。",,"現在の地球の気温上昇は+{anomaly}℃である。気温上昇が高くなるほど気候変動は予測できなくなる。<b class=""tip-goal"">この数値を1℃以下にすることがあなたの目標である。</b>",,,,,
"The current biodiversity pressure. High land use and other factors increase this, and with it, the risk of ecological collapse. <b class=""tip-goal"">Your goal is to get this to below 20.</b>","現在の生物多様性の圧力。高い土地利用などがこれを増加させ、それに伴い生態系崩壊のリスクも高まっています。 <b class=""tip-goal"">目標はこれを20以下にすることです。</b>。",,"現在の生物多様性に対する負荷。土地利用率の上昇などの要因が生物多様性に対する負荷となり、生態系崩壊の危険性が高まる。<b class=""tip-goal"">この数値を20以下にすることがあなたの目標である。</b>",,,,,
"How people around the world feel about the state of things. This is a combination of regional contentedness, crises, and policy decisions. <b class=""tip-warn"">If this goes below 0 you will be removed from power.</b>","世界中の人々が物事の状態についてどのように感じているか。これは地域の満足度、危機、政策決定の組み合わせである。 <b class=""tip-warning"">これが0以下になると、あなたは権力の座を追われることになる</b>。",,"世界中の人々が現状に対して感じていることを数値化したもの。これは、各地域の満足度、危機、政策決定の組み合わせによって決まる。<b class=""tip-warn"">もしこの数値が0以下になったら、あなたは責任者の任を解かれる。</b>",,,,,
"Current annual emissions are {emissions} gigatonnes. <b class=""tip-goal"">Your goal is to get this to below 0.</b>","現在の年間排出量は{排出量}ギガトンです。 <b class=""tip-goal"">これを0以下にすることがあなたの目標です</b>。",,"現在のCO2の年間排出量は、 {emissions} ギガトンである. <b class=""tip-goal"">この数値を0以下にすることがあなたの目標である。</b>",,,,,
The following processes can't produce as much as they need to: {processesOverLimit},以下のプロセスは、必要なだけの生産ができません。{processesOverLimit}です。,,この方法では必要な量を生産できない：{processesOverLimit},,,,,
The predicted effect of your current plan is shown here.,現在のプランの効果予測はこちらで表示しています。,,現在選択している計画の効果の予測値。,,,,,
This process uses {feedstockName}. {feedstockEstimateDesc},この処理では{feedstockName}を使用します。{フィードストックエスティメイトデスク}を使用します。,,この方法は {feedstockName}を使用する。 {feedstockEstimateDesc},,,,,
"This region's income level has increased to <strong>{income}</strong>. Demand for <img src='{iconElec}'>electricity, <img src='{iconFuel}'>fuel, <img src='{iconPCals}'>plant and <img src='{iconACals}'>animal-based food has been updated.",この地域の所得水準は<strong>{income}</strong>まで上昇している。<img src='{iconElec}'>電気、<img src='{iconFuel}'>燃料、<img src='{iconPCals}'>植物、<img src='{iconACals}'>動物系の食料への需要が更新されました。,,この地域の所得水準は<strong>{income}</strong>に上昇した。 <img src='{iconElec}'>電力、<img src='{iconFuel}'>燃料、<img src='{iconPCals}'>植物由来の食品、<img src='{iconACals}'>動物由来の食品の需要が変化した。,,,,,
"This region's income level has contracted to <strong>{income}</strong>. Demand for <img src='{iconElec}'>electricity, <img src='{iconFuel}'>fuel, <img src='{iconPCals}'>plant and <img src='{iconACals}'>animal-based food has been updated.",この地域の所得水準は<strong>{income}</strong>に収縮している。<img src='{iconElec}'>電気、<img src='{iconFuel}'>燃料、<img src='{iconPCals}'>植物、<img src='{iconACals}'>動物性食品への需要が更新されました。,,この地域の所得水準は<strong>{income}</strong>に低下した。<img src='{iconElec}'>電力、<img src='{iconFuel}'>燃料、<img src='{iconPCals}'>植物由来の食品、<img src='{iconACals}'>動物由来の食品の需要が変化した。,,,,,
Event Factors,イベント要因,,100.0%,0,完了,Y,,
This event is influenced by the global temperature anomaly.,このイベントは、地球の温度偏差に影響されます。,,このイベントは、地球の気候変動の影響を受ける。,,,,,
This event is influenced by how happy people are.,このイベントは、人々がどれだけ幸せであるかということに影響されます。,,このイベントは、人々の幸福度の影響を受ける。,,,,,
This event is influenced by biodiversity pressures.,このイベントは、生物多様性の圧力の影響を受けています。,,このイベントは、生物多様性に対する負荷の影響を受ける。,,,,,
This event is influenced by the amount of sea level rise.,この事象は、海面上昇量に影響されます。,,このイベントは、海面水位の影響を受ける。,,,,,
This event is influenced by the habitability of regions.,この事象は、地域のハビタビリティに影響される。,,このイベントは、人々の満足度の影響を受ける。,,,,,
This event is influenced by how much production involves carbon capture and storage.,このイベントは、炭素の回収と貯留を伴う生産の多寡に影響されます。,,このイベントは、炭素の回収と貯留を伴う生産量の影響を受ける。,,,,,
This event is influenced by how much energy production can meltdown.,このイベントは、エネルギー生産がどれだけメルトダウンできるかということに影響されます。,,このイベントは、エネルギー生産におけるメルトダウンする可能性の影響を受ける。,,,,,
This event is influenced by how much energy production produces nuclear waste.,この事象は、エネルギー生産でどれだけ核廃棄物が発生するかに影響されます。,,このイベントは、エネルギー生産にける核廃棄物量の影響を受ける。,,,,,
This event is influenced by how production is especially labor-intensive.,このイベントは、生産が特に労働集約的であることが影響しています。,,このイベントは、生産の労働集約性の影響を受ける。,,,,,
This event is influenced by how much energy production uses fossil fuels.,この事象は、エネルギー生産にどれだけ化石燃料が使われているかに影響されます。,,このイベントは、エネルギー生産にける化石燃料の使用量の影響を受ける。,,,,,
This event is influenced by how much food production uses pesticides.,この事象は、食料生産にどれだけ農薬が使われているかに影響されます。,,このイベントは、食料生産における農薬の使用量の影響を受ける。,,,,,
This event is influenced by how much food production uses livestock.,このイベントは、食料生産にどれだけ家畜が使われているかに影響されます。,,このイベントは、食料生産における家畜の割合の影響を受ける。,,,,,
This event is influenced by how much energy production is intermittent.,この事象は、エネルギー生産がどれだけ断続的であるかに影響されます。,,このイベントは、エネルギー生産が断続的であるかから影響を受ける。,,,,,
This event is influenced by the demand for animal calories.,このイベントは、動物性カロリーの需要に影響される。,,このイベントは、動物由来の食品の影響を受ける。,,,,,
This event is influenced by the demand for plant calories.,このイベントは、植物のカロリーの需要に影響されます。,,このイベントは、植物由来の食品の影響を受ける。,,,,,
This event is influenced by the demand for electricity.,このイベントは、電力需要に影響されます。,,このイベントは、電力需要の影響を受ける。,,,,,
This event is influenced by the demand for fuel.,このイベントは、燃料の需要に影響されます。,,このイベントは、燃料需要の影響を受ける。,,,,,
active,アクティブ,,有効,,,,,
inactive,低調,,非有効,,,,,
being built,出来上がり,,進行中,,,,,
"This event can occur if ""{name}"" is {label}.","このイベントは、""{name}""が{label}の場合に発生する可能性があります。",,"このイベントは、""{name}"" が {label}である場合に発生する。",,,,,
This event is influenced by the output of {name}.,このイベントは{name}の出力に影響されます。,,このイベントは、{name}の生産力に影響を受ける。,,,,,
This event is influenced by the mix share of {name}.,このイベントは、{name}のミックスシェアの影響を受けています。,,このイベントは、{name}のポイントの割り当てに影響を受ける。,,,,,
This event can occur if {name} is your {relType}.,このイベントは、{name}があなたの{relType}である場合に発生する可能性があります。,,このイベントは、{name}があなたの{relType}である場合に発生する。,,,,,
Effects,0,,100.0%,0,完了,Y,,
an unknown amount,なにがなんだか,,不明な量,,,,,
That's a {percent}% change.,パーセント}%の変化です。,,{percent}%の変化である。,,,,,
"Fuel demand will change from <img src=""{iconFuel}"">{prevDemandFuel} to <img src=""{iconFuel}"">{nextDemandFuel} and electricity demand will change from <img src=""{iconElec}"">{prevDemandElec} to <img src=""{iconElec}"">{nextDemandElec}.","燃料需要は<img src=""{iconFuel}"">{prevDemandFuel} から <img src=""{iconFuel}"">{nextDemandFuel} へ、電力需要は<img src=""{iconElec}"">{prevDemandElec} から <img src=""{iconElec}"">{nextDemandElec} へ変更されることになった。",,"燃料需要は <img src=""{iconFuel}"">{prevDemandFuel}から <img src=""{iconFuel}"">{nextDemandFuel} に変化し、電力需要は <img src=""{iconElec}"">{prevDemandElec} から <img src=""{iconElec}"">{nextDemandElec} に変化する。",,,,,
"Animal calorie demand will change from <img src=""{iconACals}"">{prevDemandACals} to <img src=""{iconACals}"">{nextDemandACals} and plant calorie demand will change from <img src=""{iconPCals}"">{prevDemandPCals} to <img src=""{iconPCals}"">{nextDemandPCals}.","動物のカロリー需要は<img src=""{iconACals}"">{prevDemandACals} から <img src=""{iconACals}"">{nextDemandACals} へ、植物のカロリー需要は<img src=""{iconPCals}"">{prevDemandPCals} から <img src=""{iconPCals}"">{nextDemandPCals} へ変更されることになる。",,"動物のカロリー需要は<img src=""{iconACals}"">{prevDemandACals} から <img src=""{iconACals}"">{nextDemandACals} に変化し、、植物のカロリー需要は<img src=""{iconPCals}"">{prevDemandPCals} から <img src=""{iconPCals}"">{nextDemandPCals} に変化する。",,,,,
Migrations will have less of an impact when they occur. But there might be other consequences.,マイグレーションが発生しても影響は少ないでしょう。しかし、それ以外の影響が出るかもしれません。,,移民が発生した場合の影響は少なくなるが、別の結果が生じる可能性がある。,,,,,
"Research points are 1<img src=""{iconPC}""> cheaper.","研究ポイントは1<img src=""{iconPC}""> 安くなっています。",,"研究に必要なポイントが<img src=""{iconPC}"">1下がる。",,,,,
Stops regional development throughout the world.,世界中の地域発展を止める。,,世界中の経済発展を止める。,,,,,
Accelerates regional development throughout the world.,世界の地域発展を加速させる。,,世界中の開発を加速する。,,,,,
Contract the economies of the wealthiest regions.,最も裕福な地域の経済を収縮させる。,,高所得者地域の経済を衰退させる。,,,,,
Prevents or stops metal shortages.,金属不足を防ぐ、または止める。,,金属の不足を防ぐ、または止めることができる。,,,,,
A parliamentary majority is no longer required for any project.,どのようなプロジェクトにも国会の多数決はもはや必要ではありません。,,どの政策を実行するにも議会の過半数の承認は必要なくなる。,,,,,
Research and infrastructure take 10% less time to complete.,研究・インフラにかかる時間が10％短縮される。,,研究とインフラの完了までの時間が、10％短縮する。,,,,,
Research and infrastructure take 10% more time to complete.,研究・インフラには10％以上の時間がかかる。,,研究とインフラの完了までの時間が、10％遅延する。,,,,,
Restoration projects take 10% less time to complete.,修復プロジェクトにかかる時間は10％短縮されました。,,自然の再生に関わる完了までの時間が、10％短縮する。,,,,,
Research and infrastructure take 5% more time to complete.,研究・インフラは5％多く時間がかかる。,,研究とインフラの完了までの時間が、5％遅延する。,,,,,
Research points are cheaper.,研究ポイントが安くなる。,,研究にかかるポイントが下がる。,,,,,
Limits cross-region migration.,地域を越えた移動を制限する。,,地域を超える移動を制限する。,,,,,
Encountered extraterrestrials,地球外生命体との遭遇,,地球外生命体との遭遇,,,,,
A parliamentary majority is no longer required for any project.,どのようなプロジェクトにも国会の多数決はもはや必要ではありません。,,どの政策を実行するにも議会の過半数の承認は必要なくなる。,,,,,
80% of fuel demand becomes electricity demand.,燃料需要の8割が電力需要になる。,,燃料需要の8割が電力需要になる。,,,,,
90% of animal calorie demand is met with plant calories.,動物のカロリー需要の9割は植物のカロリーでまかなわれている。,,動物のカロリー需要の9割は植物のカロリーでまかなわれている。,,,,,
You've been bailed out once,一度救済されたことがある方,,一度救済されたことがある,,,,,
Underdeveloped regions develop more quickly.,未発達な地域ほど早く発展する。,,開発が遅れている地域ほど急速に発展する。,,,,,
Wealthy regions income levels and consumption will decline.,富裕層地域の所得水準と消費は低下する。,,高所得者地域の所得水準と消費が低下する。,,,,,
Infrastructure projects take 20% longer to finish.,インフラプロジェクトは終了までに20%も時間がかかる。,,インフラ施策の完了までの時間が20%遅延する。,,,,,
Projects take less time to complete.,プロジェクトにかかる時間が短くなる。,,施策完了までの時間がより短縮する。,,,,,
Projects take longer to complete.,プロジェクトの完成に時間がかかる。,,施策完了までの時間がより遅延する。,,,,,
Projects take more time to complete.,プロジェクトは完成までに時間がかかる。,,施策完了までの時間がさらに遅延する。,,,,,
Stops or prevents metals shortages.,金属不足を食い止め、防止する。,,金属の不足を防ぐ、または止めることができる。,,,,,
Projects take less time to complete.,プロジェクトにかかる時間が短くなる。,,施策完了までの時間がより短縮する。,,,,,
75% of animal calorie demand is met with plant calories.,動物のカロリー需要の75%は植物のカロリーでまかなわれている。,,動物のカロリー需要の75%は植物のカロリーでまかなわれている。,,,,,
Stops regional development throughout the world.,世界中の地域発展を止める。,,世界中の経済発展を止める。,,,,,
Projects take longer to complete.,プロジェクトの完成に時間がかかる。,,施策完了までの時間がより遅延する。,,,,,
Restoration projects take less time to complete.,修復プロジェクトは、より短い時間で完了します。,,自然の再生の完了までの時間が短縮する。,,,,,
"Current world contentedness is {contentedness}<span class=""type-total"">/{maxContentedness}</span>.","現在の世界の満足度は{満足度}<span class=""type-total"">/{maxContentedness}</span> です。",,"現在の世界の満足度は、{contentedness}<span class=""type-total"">/{maxContentedness}</span>である。",,,,,
Reduces,削減,,削減される,,,,,
Increases,増加数,,増加する,,,,,
{changeDir} world contentedness by {amount}.,{changeDir}世界の満足度を{amount}で表す。,,世界の満足度は、{amount}{changeDir}。,,,,,
This will directly change annual emissions by {amount}.{percent},これにより、年間排出量が直接的に{金額}.{パーセント}変化することになります。,,この施策により、年間排出量が{amount}.{percent}変化する。,,,,,
{changeDir} emissions by {amount}.,{changeDir}の排出量を{amount}で表示します。,,世界の排出量は、{amount}{changeDir}。,,,,,
"Current biodiversity pressure is {amount}<span class=""type-total"">/{maxAmount}</span>.","現在の生物多様性圧力は{amount}<span class=""type-total"">/{maxAmount}</span> です。",,"現在の生物多様性に対する負荷は、{amount}<span class=""type-total"">/{maxAmount}</span>である。",,,,,
{changeDir} biodiversity pressure by {amount}.,{changeDir} 生物多様性の圧力を{amount}で指定します。,,世界の生物多様性に対する負荷は、{amount}{changeDir}。,,,,,
This will directly change the global temperature anomaly by {amount}<strong>°c</strong>.,これは、地球の温度偏差を直接的に{量}<strong>°c</strong>変化させることになります。,,これにより、年間排出量が{amount}.{percent}変化する。,,,,,
{changeDir} the global temperature by {amount}<strong>°c</strong>.,{changeDir}地球の温度を{amount}<strong>°c</strong>単位で変更します。,,地球の平均気温は、{amount}<strong>°c</strong>{changeDir} 。,,,,,
This will directly change global precipitation by {amount}<strong>cm/yr</strong>.,これは、地球の降水量を{量}<strong>cm/yr</strong>だけ直接変化させることになります。,,これにより、地球の降水量が{amount}<strong>cm/yr</strong>変化する。,,,,,
{changeDir} global precipitation by {amount}<strong>cm/yr</strong>.,{changeDir}地球全体の降水量を{量}<strong>cm/yr</strong>で表したものです。,,地球全体の降水量は、{amount}<strong>cm/yr</strong>{changeDir} 。,,,,,
The number of people on the planet.,地球上の人の数です。,,地球上の総人口。,,,,,
{changeDir} global population growth by {amount}<strong>%.</strong>,{changeDir}世界人口の増加{量}<strong>%.</strong>。,,世界人口の増加は、{amount}<strong>%.</strong>{changeDir} 。,,,,,
{changeDir} global population by {amount}.,{changeDir} グローバルな人口を{amount}で変更します。,,世界人口は、{amount}{changeDir} 。,,,,,
The amount of sea level rise is currently {amount}m.,海面上昇量は現在{量}mです。,,現在の海面上昇量は、{amount}m。,,,,,
{changeDir} the rate of sea level rise by {amount}mm/year.,{changeDir}海面上昇率を{amount}mm/yearで指定します。,,海面上昇率は、{amount}mm/year{changeDir}。,,,,,
Research points: Allocate them to research projects!,研究ポイント研究プロジェクトに割り当てよう,,研究ポイントを、研究施策の割り当てよう！,,,,,
Possible,可能,,可能である,,,,,
{random}+{amount} research points.,{ランダム}+{量}の調査ポイント。,,{random}+{amount}研究ポイント,,,,,
{changeDir} maximum output for {process} by <strong>{amount}</strong>,{changeDir} {process}の最大出力量を<strong>{amount}</strong>で指定。,,{process} の最大出力量は、<strong>{amount}</strong>{changeDir} 。,,,,,
